"Label (Grouping)","Suffolk County, New York!!Estimate","Suffolk County, New York!!Margin of Error"
"Total:","768,320","±4,286"
"    16 to 19 years","25,210","±1,161"
"    20 to 24 years","64,834","±1,299"
"    25 to 44 years","297,465","±2,235"
"    45 to 54 years","168,143","±1,545"
"    55 to 59 years","87,619","±2,121"
"    60 to 64 years","68,434","±2,177"
"    65 years and over","56,615","±1,610"
"    Car, truck, or van - drove alone:","564,097","±4,496"
"        16 to 19 years","16,596","±1,094"
"        20 to 24 years","46,715","±1,198"
"        25 to 44 years","220,764","±2,933"
"        45 to 54 years","121,618","±2,038"
"        55 to 59 years","65,001","±1,854"
"        60 to 64 years","50,937","±1,900"
"        65 years and over","42,466","±1,579"
"    Car, truck, or van - carpooled:","57,014","±2,534"
"        16 to 19 years","4,625","±484"
"        20 to 24 years","6,596","±864"
"        25 to 44 years","21,518","±1,328"
"        45 to 54 years","13,291","±1,111"
"        55 to 59 years","5,054","±647"
"        60 to 64 years","3,525","±437"
"        65 years and over","2,405","±320"
"    Public transportation (excluding taxicab):","40,247","±1,794"
"        16 to 19 years","762","±279"
"        20 to 24 years","2,924","±405"
"        25 to 44 years","16,077","±1,131"
"        45 to 54 years","9,995","±924"
"        55 to 59 years","5,013","±592"
"        60 to 64 years","3,248","±429"
"        65 years and over","2,228","±437"
"    Walked:","9,996","±962"
"        16 to 19 years","993","±193"
"        20 to 24 years","1,764","±417"
"        25 to 44 years","2,983","±432"
"        45 to 54 years","1,561","±352"
"        55 to 59 years","912","±249"
"        60 to 64 years","762","±223"
"        65 years and over","1,021","±294"
"    Taxicab, motorcycle, bicycle, or other means:","14,754","±1,532"
"        16 to 19 years","1,199","±371"
"        20 to 24 years","2,062","±551"
"        25 to 44 years","5,872","±945"
"        45 to 54 years","2,769","±527"
"        55 to 59 years","1,276","±241"
"        60 to 64 years","948","±247"
"        65 years and over","628","±174"
"    Worked from home","82,212","±2,433"
"        16 to 19 years","1,035","±254"
"        20 to 24 years","4,773","±557"
"        25 to 44 years","30,251","±1,503"
"        45 to 54 years","18,909","±1,016"
"        55 to 59 years","10,363","±786"
"        60 to 64 years","9,014","±736"
"        65 years and over","7,867","±554"